datetime,symbol,open,high,low,close,volume,HighArrow,LowArrow,UTC,GMT
2024-06-27 09:30:00,FX:EURUSD,1.07114,1.07175,1.07114,1.07132,3097.0,,,2024-06-27 14:30:00,2024-06-27 16:30:00
2024-06-27 09:15:00,FX:EURUSD,1.07198,1.07202,1.07078,1.07114,3934.0,,,2024-06-27 14:15:00,2024-06-27 16:15:00
2024-06-27 09:00:00,FX:EURUSD,1.07202,1.07253,1.07162,1.07198,4401.0,,,2024-06-27 14:00:00,2024-06-27 16:00:00
2024-06-27 08:45:00,FX:EURUSD,1.07237,1.0725,1.07176,1.07202,3366.0,,,2024-06-27 13:45:00,2024-06-27 15:45:00
2024-06-27 08:30:00,FX:EURUSD,1.072,1.07264,1.072,1.07237,3941.0,1.07284,,2024-06-27 13:30:00,2024-06-27 15:30:00
2024-06-27 08:15:00,FX:EURUSD,1.0721,1.07253,1.0717,1.072,3293.0,,,2024-06-27 13:15:00,2024-06-27 15:15:00
2024-06-27 08:00:00,FX:EURUSD,1.07195,1.07237,1.07176,1.0721,4148.0,,,2024-06-27 13:00:00,2024-06-27 15:00:00
2024-06-27 07:45:00,FX:EURUSD,1.0717,1.07221,1.07115,1.07195,4937.0,,,2024-06-27 12:45:00,2024-06-27 14:45:00
2024-06-27 07:30:00,FX:EURUSD,1.07016,1.07205,1.06968,1.0717,7724.0,,,2024-06-27 12:30:00,2024-06-27 14:30:00
2024-06-27 07:15:00,FX:EURUSD,1.06978,1.07037,1.06965,1.07016,2435.0,,,2024-06-27 12:15:00,2024-06-27 14:15:00
2024-06-27 07:00:00,FX:EURUSD,1.06926,1.06986,1.06926,1.06978,2940.0,,,2024-06-27 12:00:00,2024-06-27 14:00:00
2024-06-27 06:45:00,FX:EURUSD,1.07011,1.07018,1.06925,1.06926,2269.0,,,2024-06-27 11:45:00,2024-06-27 13:45:00
2024-06-27 06:30:00,FX:EURUSD,1.07006,1.07027,1.06986,1.07011,1790.0,,,2024-06-27 11:30:00,2024-06-27 13:30:00
2024-06-27 06:15:00,FX:EURUSD,1.07003,1.07012,1.0698,1.07006,1848.0,,,2024-06-27 11:15:00,2024-06-27 13:15:00
